Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
229,又,yòu,again  ,761.49,1,,,,,,,,
230,新,xīn,new  ,757.82,1,,,,,,,,
231,更,gèng,more  ,755.68,1,,,,,,,,
232,钱,qián,money  ,751.95,1,,,,,,,,
233,马,mǎ,horse  ,744.9,1,,,,,,,,
234,思,sī,think  ,744.11,1,,,,,,,,
235,部,bù,section  ,742.85,1,,,,,,,,
236,场,chǎng,field  ,741.78,1,,,,,,,,
237,嗯,ēn,um  ,739.5,1,,,,,,,,
238,计,jì,plan  ,738.43,1,,,,,,,,
239,任,rèn,allow  ,733.31,1,,,,,,,,
240,确,què,certainty  ,726.5,1,,,,,,,,
241,吃,chī,eat  ,722.21,1,,,,,,,,
242,始,shǐ,start  ,718.98,1,,,,,,,,
243,结,jié,end  ,704.06,1,,,,,,,,
244,利,lì,profit  ,702.74,1,,,,,,,,
245,朋,péng,friend  ,701.16,1,,,,,,,,
246,警,jǐng,policeman  ,695.14,1,,,,,,,,
247,士,shì,soldier  ,682.56,1,,,,,,,,
248,外,wài,outside  ,677.76,1,,,,,,,,
249,件,jiàn,item  ,674.86,1,,,,,,,,
250,难,nán,difficult  ,671.06,1,,,,,,,,
251,位,wèi,position  ,670.93,1,,,,,,,,
252,表,biǎo,watch  ,670.24,1,,,,,,,,
253,刚,gāng,just  ,668.75,1,,,,,,,,
254,希,xī,hope  ,666.04,1,,,,,,,,
255,查,zhā,check  ,663.84,1,,,,,,,,
256,拉,lā,pull  ,661.96,1,,,,,,,,
257,边,biān,side  ,661.21,1,,,,,,,,
258,或,huò,or  ,660.34,1,,,,,,,,
259,将,jiāng,will  ,650.28,1,,,,,,,,
260,男,nán,male  ,647.21,1,,,,,,,,
261,准,zhǔn  ,accurate,646.63,1,,,,,,,,
262,变,biàn,change  ,644.84,1,,,,,,,,
263,证,zhèng,certificate  ,643.99,1,,,,,,,,
264,物,wù,object  ,642.15,1,,,,,,,,
265,员,yuán,member  ,638.48,1,,,,,,,,
266,总,zǒng,total  ,636.19,1,,,,,,,,
267,噢,ō,oh  ,626.33,1,,,,,,,,
268,系,xì,system  ,626.24,1,,,,,,,,
269,几,jǐ,how many  ,622.36,1,,,,,,,,
270,管,guǎn,manage  ,621.38,1,,,,,,,,
271,玩,wán,play  ,618.35,1,,,,,,,,
272,处,chǔ,place  ,613.61,1,,,,,,,,
273,办,bàn,handle  ,612.84,1,,,,,,,,
274,主,zhǔ,main  ,611.17,1,,,,,,,,
275,气,qì,air  ,604.9,1,,,,,,,,
276,每,měi,every  ,604.3,1,,,,,,,,
277,少,shǎo,few  ,603.44,1,,,,,,,,
278,切,qiē,slice  ,602.08,1,,,,,,,,
279,失,shī,lose  ,601.8,1,,,,,,,,
280,算,suàn,calculate  ,600.95,1,,,,,,,,
281,性,xìng,nature  ,599.94,1,,,,,,,,
282,此,cǐ,this  ,598.83,1,,,,,,,,
283,必,bì,must  ,596.91,1,,,,,,,,
284,备,bèi,prepare  ,590.7,1,,,,,,,,
285,合,hé,combine  ,584.49,1,,,,,,,,
286,德,dé,morality  ,579.6,1,,,,,,,,
287,队,duì,team  ,578.79,1,,,,,,,,
288,试,shì,test  ,573.13,1,,,,,,,,
289,抱,bào,hold  ,572.21,1,,,,,,,,
290,医,yī,medical  ,568.67,1,,,,,,,,
291,通,tōng,pass through  ,568.24,1,,,,,,,,
292,体,tǐ,body  ,567.66,1,,,,,,,,
293,乐,lè,happy  ,564.8,1,,,,,,,,
294,并,bìng,and  ,561.11,1,,,,,,,,
295,三,sān,three  ,560.94,1,,,,,,,,
296,早,zǎo,early  ,558.48,1,,,,,,,,
297,门,mén,door  ,553.1,1,,,,,,,,
298,害,hài,harm  ,546.66,1,,,,,,,,
