chinese,pinyin,english,speech
灵感,líng gǎn,inspiration,
失望,shī wàng,disappointed,
消失,xiāo shī,disappear,
谈恋爱,tán liàn ài,in a relationship,
约会,yuē huì,a ,
会计,kuài jì,accounting,
论证,lùn zhěng,substantiate,
学历,xué lì,diploma,
属于,shǔ yú,count as,
投诉,tóu sù,formally complain,
勤快,qín kuài,diligent,
机构,jī gòu,mechanism,
额度,é dù,status quo,
额外,é wài,extra,
非正常,fēi zhèng cháng,unusual,
乳糖不耐,rǔ táng bú nài,lactose intolerant,
支出,zhī chū,expense,
支付,zhī fù,pay,
花销,huā xiāo,expenditure,
主专业,zhǔ zhuān yè,major,
附专业,fù zhuān yè,minor,
故事情节,gù shì qíng jié,story plot,
人物,rén wù,characters,
山羊胡须,shān yáng hú xū,mountain goat beard,
风格,fēng gé,style,
表情,biǎo qíng,emoji,
吃药三分毒,chī yào sān fēn dú,medicine is partly poison,
大电灯泡,dà diàn dēng pào,third wheel,
提示,tí shì,notifications,
奶泡,nǎi pào,milk foam,
语境,yǔ jìng,context,
判断,yàn,judge， determine,
评判,píng yàn,judge,
批评,pī píng,criticize,
心理医生,xīn lǐ yī shēng,therapist,
迷惘,mí wàng,lost ,
概念,gài niàn,concept,
应用,yìng yòng,application ,
小测验,xiǎo cè yàn,quiz,
基础,jī chǔ,basic skills,
实现,shí xiàn,realize,
明知故犯,míng zhī gù fàn,,
论坛,lùn tán,forum,
会议,huì yì,meeting,
政策,zhèng cè,policy,
可持续性,kě chí xù xìng,sustainability,
持续,chí shù,sustainability,
环境主义,huán jìng zhǔ yì,environmentalism,
独体字,dú tǐ zì,single characters,
话题,huà tí,topic,
咄咄逼人,duō duō bī rén,pushy,
理由,lǐ yóu,excuse,
了解,liáo jiě,know,
理解,lǐ jiě,understand deeply,
时装,shí zhuāng,fashion,
领导,líng dǎo,leader,
遗传,yí chuán,genetic,
散光,sǎn guāng,astigmatism,
疗养,liáo yǎng,convalescence,
干部,gàn bù,cohort,
话筒,huà tǒng,microphone,
麦克风,mài kè fēng,microphone,
对外经济贸易大学,duì wài jīng jì mào yì dà xué,Beijing international economics and trade school ,
三头六臂,sān tóu liù bì,multitasking,
互联网,hù lián wǎng,internet,
名词,míng cí,noun,
动词,dòng cí,verb,
形容词,xíng róng cí,adjective,
副词,fù cí,adverb,
介词,jiè cí,preposition,
相处,xiāng chǔ,get along,
幸运,xìng yùn,fortune,
运气,yùn qì,happenstance,
吃到苦,chī dào kǔ,suffer,
山海,shān hài,a famous collection of myths,
提莫,tí mò,topic,
优势,yōu shì,advantage,
参考,cān kǎo,source,
王德明,wáng dé míng,太爷,
王仁琴,wáng rén qín,姥姥,
钟生坦,zhōng shēng tǎn,姥爷,
徐萍萍,xú píng ping,奶奶,
伊善庆,yī shàn qìng,爷爷,
萍水相逢,píng shuǐ xiāng féng,by chance,
各奔东西,gè bēn dōng xī,each go our own separate ways,
铁树开花,tiě shù kāi huā,rare occurrence,
叶落归根,yè luò guī gēn,as we grow old,
社区,shè qū,community,
新冠,xīn guàn,virus,
冠军,guàn jūn,champion,
长期,cháng qī,long-term,
可造之材,kě zào zhī cái,has potential,
无性别,wú xìng bié,gender,
大众,dà zhòng,public,
承认,chéng rèn,recognize,
公共服务,gōng gòng fú wù,public service,
公务员,gōng wù rén,public servant,
烘焙店,hōng bèi diàn,bakery,
分享,fēn xiǎng,share,
无穷,wú qióng,infinite,
约会平台,yuē huì píng tái,dating platform,
员工,yuán gōng,employee,
模糊,mó hù,blurry,
相通,xiāng tóng,similar,
培训,péi xùn,training,
焦虑,jiāo lǜ,anxiety,
教育政策研究,jiào yù zhèng cè yán jiū,education policy research,
尝试,cháng shì,try,
说三道四,shuō sān dào sì,say nonsense,
指手画脚,zhǐ shǒu huà jiǎo,finger pointing,
思路是对的,sī lù shì duì de,train of thought is correct,
闺蜜,guī mì,best friends ,
书评,shū píng,book review,
观众,guān zhòng,audience,
小组作业,xiǎo zǔ zuò yè,group work,
建筑,jiàn zhú,architecture,
谈谈,tán tán,discuss,
阴性,yīn xìng,negative ,
阳性,yáng xìng,positive ,
毒品,dú pǐn,drugs,
爱屋及乌,ài wū jí wū,your love for someone extends even to the crows on their roof,
心意到了就好,xīn yì dào le jiù hǎo,it's the thought that counts,
负数,fù shù,negative number,
正数,zhèng shù,positive number,
整数,zhěng shù,whole number,
正能量,zhèng néng liàng,quality of having positive personality,
重色轻友,zhòng sè qīng yǒu,when you get an SO you neglect your friends,
文学作品,wén xué zuò pǐn,literature,
取笑,qǔ xiào,make fun of,
独一无二,dú yī wú èr,unique,
独特,dú tè,unique,
对号入座,duì hào rù zuò,seat according to your number ,
对话,duì huà,dialogue,
共鸣,gòng míng,sympathize,
寄养家庭,jì yǎng jiā tíng,foster family,
寄宿学校,jì yǎng xué xiào,boarding school,
液体, yè tǐ, liquid,
固体, gù tǐ, solid,
气体, qì tǐ, gas,
标题, biāo tí, heading,
内容, nèi róng, content,
职位, zhǐ wèi, position ,
款式, kuǎn shì, style ,
歧视, qí shì, prejudice,
种族歧视, zhǒng zú qí shì, racist,
移民, yí mín, immigrate,
边界, biān jiè, boundary,
人生如梦, rén shēng rú mèng, life is but a dream ,
二手, èr shǒu, secondhand,
城堡, chéng bǎo, castle,
难民, nán mín, refugee,
帐篷, zhàng péng, tent,
统一, tǒng yī, unified,
汇, huì, converge ,
精力, jīng lì, energy,
对方, duì fāng, the other,
强扭的瓜不甜, qiáng niǔ de guā bù tián, if it takes too much effort the result isn't worth it,
列表, liè biǎo, list,
频道, pín dào, ,
私信, sī xìn, DM,
抱团, bào tuán, meet up,
提及, tí jí, mention,
添加, tiān jiā, add,
连接, lián jiē, connect,
团队, tuán duì, team,
成员, chéng yuán, member,
保存, bǎo cún, save,
档案, dǎng àn, file,
离线, lí xiàn, offline,
未读, wèi dú, unread,
用户组, yòng hù zǔ, user group,
自定义, zì dìng yì, customize,
本, běn, this,
首选项, shǒu xuǎn xiàng, preferences,
通知, tōng zhī, notifications,
侧栏, cè lán, sidebar,
媒体, méi tǐ, media,
地区, dì qū, area,
辅助功能, fǔ zhù gōng néng, accessibility,
标记, biǎo jì, mark,
音频, yín pín, audio,
帐户, zhàng hù, account,
隐私, yǐn sī, privacy,
可见性, kě jiàn xìng, visibility,
显示, xiǎn shì, show,
草稿, cǎo gǎo, draft,
预定, yù dìng, reserve,
程序, chéng xù, program,
排序, pái xù, sort,
按字母顺序, àn zì mù xùn xù, order alphabetically,
进行, jìn xíng, conduct,
单独, dān dú, individual,
私人频道, sī rén pín dào, private channel,
分区, fēn qū, section,
外部, wài bù, external,
组成, zǔ chéng, group into,
仅, jǐn, only,
加星标, jiā xīng biāo, starred,
关闭, guān bì, close,
关键, guān jiàn, essential,
移动设备, yí dòng shè bèi, mobile device,
设置, shè zhì, settings,
特殊, tè shū, special,
邀请, yāo qǐng, invite,
分隔, fēn gé, separate,
逗号, dòu hào, comma,
区分, qū fēn, distinguish,
暂停, zàn tíng, pause,
默认, mò rèn, default,
录制, lù zhì, record,
隐藏, yǐn cáng, hide,
免费版, miǎn fèi bǎn, free version/edition,
访问, fǎng wèn, access ,
在线, zài xiàn, online,
复制, fù zhì, copy,
链接, lián jiē, hyperlink,
预览, yù lǎn, preview,
愿消息, yuán xiāo xǐ, original message,
以, yǐ, to [verb],
点按, diǎn àn, tap,
跳转, tiào zhuǎn, jump/skip ,
动态, dòng tài, dynamic,
条件, tiáo jiàn, condition,
搜索, sōu suǒ, search,
办事项, bàn shì xiàng, to-dos,
状态, zhuàng tài, status,
输入, shū rù, enter,
升级, shēng jí, upgrade,
歌单, gē dān, playlist,
播放, bò fàng, played/broadcast ,
收藏, shōu cáng, add/collect,
